timestamp,time_diff,files,chunks,candidates,clones,files_rate,chunks_rate,candidates_rate,clones_rate
2025-01-02T10:53:20.873814,5.131091117858887,48200,228400,0,0,0,0,0,0
2025-01-02T10:53:25.885563,5.011748552322388,2500,0,0,0,0,0,0,0
2025-01-02T10:53:30.900110,5.014547109603882,8500,0,0,0,1196.518821910911,0,0,0
2025-01-02T10:53:35.911396,5.011285781860352,15300,0,0,0,1356.9371805963178,0,0,0
2025-01-02T10:53:40.932325,5.020929336547852,22100,0,0,0,1354.3309503485966,0,0,0
2025-01-02T10:53:45.952819,5.020493984222412,29100,0,0,0,1394.2851085965756,0,0,0
2025-01-02T10:53:50.938481,4.98566198348999,35300,0,0,0,1243.566054123061,0,0,0
2025-01-02T10:53:55.964826,5.026344537734985,41900,0,0,0,1313.081495001166,0,0,0
2025-01-02T10:54:00.991953,5.027127265930176,47100,0,0,0,1034.387976457532,0,0,0
2025-01-02T10:54:06.074315,5.082361698150635,48200,19800,0,0,216.43481226459483,3895.826620762707,0,0
2025-01-02T10:54:11.153764,5.079448938369751,48200,24700,0,0,0,964.6715735216457,0,0
2025-01-02T10:54:16.218301,5.064537763595581,48200,48300,0,0,0,4659.852705539927,0,0
2025-01-02T10:54:21.329013,5.110712051391602,48200,74200,0,0,0,5067.786981453525,0,0
2025-01-02T10:54:26.456376,5.127362489700317,48200,113600,0,0,0,7684.262635837717,0,0
2025-01-02T10:54:31.608881,5.15250563621521,48200,145500,0,0,0,6191.162562887025,0,0
2025-01-02T10:54:36.744587,5.135705471038818,48200,171000,0,0,0,4965.238007475148,0,0
2025-01-02T10:54:41.882370,5.13778281211853,48200,171000,0,0,0,0,0,0
2025-01-02T10:54:46.969416,5.087045907974243,48200,171300,0,0,0,58.97332271559264,0,0
2025-01-02T10:54:52.122969,5.153553485870361,48200,173700,0,0,0,465.69808707334573,0,0
2025-01-02T10:54:57.254988,5.13201904296875,48200,174800,0,0,0,214.3405920340616,0,0
2025-01-02T10:55:02.369041,5.114053010940552,48200,175300,0,0,0,97.76981171887431,0,0
2025-01-02T10:55:07.487375,5.118333339691162,48200,175300,0,0,0,0,0,0
2025-01-02T10:55:12.652795,5.165420770645142,48200,175300,0,0,0,0,0,0
2025-01-02T10:55:17.746204,5.093409061431885,48200,175300,0,0,0,0,0,0
2025-01-02T10:55:22.893492,5.147287130355835,48200,175300,0,0,0,0,0,0
2025-01-02T10:55:28.015009,5.121517658233643,48200,175300,0,0,0,0,0,0
2025-01-02T10:55:33.135059,5.1200501918792725,48200,175300,0,0,0,0,0,0
2025-01-02T10:55:38.263998,5.128938913345337,48200,175300,0,0,0,0,0,0
2025-01-02T10:55:43.391700,5.127701997756958,48200,175300,0,0,0,0,0,0
2025-01-02T10:55:48.472744,5.081043481826782,48200,176000,0,0,0,137.76697690221886,0,0
2025-01-02T10:55:53.606156,5.133411884307861,48200,176500,0,0,0,97.40110695742761,0,0
2025-01-02T10:55:58.723635,5.117479085922241,48200,178000,0,0,0,293.11306891832254,0,0
2025-01-02T10:56:03.860208,5.136573076248169,48200,202500,0,0,0,4769.7170148886835,0,0
